track_id,split,genre
2,train,Hip-Hop
5,train,Hip-Hop
10,train,Pop
140,train,Folk
141,train,Folk
148,val,Experimental
182,test,Rock
190,train,Folk
193,train,Folk
194,train,Folk
197,train,Folk
200,train,Folk
203,train,Folk
204,train,Folk
207,train,Folk
210,train,Folk
211,train,Folk
212,train,Folk
213,train,Pop
255,train,Rock
256,train,Rock
368,train,Rock
424,train,Experimental
459,val,Rock
534,train,Folk
540,train,Folk
546,train,Folk
574,train,Rock
602,val,Folk
615,train,Experimental
620,train,Folk
621,train,Folk
625,train,Folk
666,train,International
667,train,International
676,train,Hip-Hop
690,val,Rock
694,train,Hip-Hop
695,train,Hip-Hop
704,test,International
705,test,International
706,test,International
707,test,International
708,test,International
709,test,International
714,train,Folk
715,train,Folk
716,train,Folk
718,train,Folk
777,train,Rock
814,train,Folk
821,train,Pop
822,train,Pop
825,train,Rock
853,train,International
890,test,Folk
892,test,Folk
897,train,Experimental
993,val,Rock
995,train,Experimental
997,train,Experimental
998,train,Experimental
1039,train,Rock
1040,train,Rock
1066,test,Experimental
1069,test,Experimental
1073,test,Experimental
1075,test,Experimental
1082,train,International
1083,train,Experimental
1087,val,Rock
1102,train,Rock
1193,train,Folk
1195,train,Folk
1196,train,Folk
1197,train,Folk
1249,test,Experimental
1259,test,Experimental
1270,train,Rock
1276,train,Experimental
1277,train,Experimental
1278,train,Experimental
1417,train,Rock
1427,train,Rock
1443,train,Experimental
1482,train,Electronic
1510,train,Experimental
1544,train,Folk
1642,train,Pop
1644,train,Pop
1649,train,Pop
1661,train,Pop
1663,train,Pop
1666,train,Pop
1673,train,Experimental
1680,train,International
1681,train,International
1682,train,International
1683,train,International
1684,train,International
1685,train,International
1686,train,International
1687,train,International
1688,train,International
1689,train,International
1701,train,Folk
1702,train,Folk
1703,train,Folk
1704,train,Folk
1706,train,Rock
1720,train,Rock
1732,train,Experimental
1733,train,Experimental
1735,train,Experimental
1736,train,Experimental
1883,train,Rock
1891,train,Rock
1893,val,Folk
1924,train,Folk
1925,train,Folk
1929,train,Experimental
1930,train,Rock
2012,val,Experimental
2096,train,Experimental
2097,train,Folk
2099,train,Pop
3263,val,Folk
3264,val,Folk
3265,val,Folk
3266,val,Folk
3270,train,Folk
3271,train,Folk
3272,train,Folk
3273,train,Folk
